doc_id,cluster
6447,1
6451,1
6455,1
6456,1
6457,1
6462,1
6469,1
6481,1
6482,1
6483,1
6484,1
6486,1
6491,1
6495,1
6504,1
6527,1
6530,1
6531,1
6533,1
6535,1
6543,1
6547,1
6557,1
6558,1
6560,1
6566,1
6572,1
6574,1
6576,1
6577,1
6578,1
6594,1
6610,1
6622,1
6623,1
6637,1
6641,1
6650,1
6654,1
6655,1
6657,1
6660,1
6663,1
6665,1
6681,1
6684,1
6685,1
6691,1
6713,1
6714,1
6727,1
6730,1
6748,1
6751,1
6753,1
6757,1
6769,1
6775,1
6780,1
6781,1
6785,1
6789,1
6792,1
6804,1
6806,1
6808,1
6809,1
6810,1
6811,1
6814,1
6836,1
6837,1
6848,1
6863,1
6864,1
6874,1
6877,1
6888,1
6889,1
6891,1
6901,1
6903,1
6906,1
6915,1
6916,1
6927,1
6934,1
6942,1
6943,1
6946,1
6947,1
6951,1
6952,1
6953,1
6956,1
6961,1
6962,1
6964,1
6967,1
6969,1
6973,1
6980,1
6991,1
6994,1
6995,1
6996,1
7000,1
7011,1
7014,1
7016,1
7017,1
7039,1
7043,1
7050,1
7054,1
7055,1
7068,1
7081,1
7100,1
7109,1
7110,1
7134,1
7135,1
7136,1
7139,1
7154,1
7155,1
7158,1
7170,1
7171,1
7173,1
7174,1
7176,1
7203,1
7206,1
7207,1
7208,1
7238,1
7244,1
7245,1
7262,1
7265,1
7267,1
7276,1
7292,1
7294,1
7296,1
7299,1
7306,1
7308,1
7312,1
7315,1
7325,1
7333,1
7335,1
7353,1
7358,1
7361,1
7373,1
7374,1
7375,1
7376,1
7386,1
7394,1
7400,1
7401,1
7402,1
7406,1
7407,1
7410,1
7411,1
7412,1
7429,1
7448,1
7449,1
7451,1
7454,1
7460,1
7463,1
7471,1
7474,1
7475,1
7477,1
7481,1
7483,1
7489,1
7492,1
7498,1
7512,1
7513,1
7518,1
7524,1
7525,1
7530,1
7533,1
7534,1
7539,1
7544,1
7545,1
7560,1
7564,1
7565,1
7567,1
7570,1
7573,1
7574,1
7583,1
7588,1
7604,1
7606,1
7611,1
7612,1
7615,1
7617,1
7629,1
7630,1
7643,1
7646,1
7647,1
7651,1
7652,1
7663,1
7668,1
7671,1
7675,1
7682,1
7692,1
7693,1
7701,1
7702,1
7715,1
7717,1
7725,1
7727,1
7728,1
7733,1
7736,1
7740,1
7741,1
7746,1
7752,1
7759,1
7760,1
7761,1
7763,1
7780,1
7781,1
7782,1
7784,1
7791,1
7800,1
7804,1
7805,1
7809,1
7812,1
7814,1
7819,1
7820,1
7821,1
7835,1
7839,1
7841,1
7848,1
7849,1
7850,1
7852,1
7861,1
7862,1
7864,1
7872,1
7874,1
7876,1
7888,1
7890,1
7892,1
7895,1
7897,1
7900,1
7907,1
7913,1
7917,1
7919,1
7924,1
7925,1
7927,1
7928,1
7935,1
7938,1
7943,1
7944,1
7954,1
7956,1
7959,1
7962,1
7968,1
7969,1
7971,1
7981,1
7982,1
7985,1
7986,1
7992,1
7993,1
7994,1
7995,1
8007,1
8010,1
8015,1
8021,1
8035,1
8039,1
8044,1
8051,1
8054,1
8065,1
8078,1
